AR052WY1187FB55B1C,27.4955,BRADENTON. FL,-82.57807,We The Kings,194.35057,1.0,SOGEKSP12A58A78530,August Is Over,2007.0
AR0S3YD1187B99967F,,Jacksonville. FL,,The Classics IV,127.65995,1.0,SOYRACV12A8C13C4D8,24 Hours Of Loneliness,1975.0
ARNNRN31187B9AE7B7,,Forrest City. AR,,Al Green,189.41342,1.0,SOIDBNB12A58A7A72C,Keep Me Crying,1976.0
ARZDP5D1187B9B4ECB,50.84838,Brussel 1981,4.34968,Arbeid Adelt!,279.03955,1.0,SOEDXTY12A6D4FB0ED,Het Meisje Van Mijn Hart,1983.0
ARFL99B1187B9A2A45,,PERTH AMBOY. New Jersey,,Sugarland,202.26567,1.0,SOXTCXD12AB0183E39,Silent Night,2009.0
ARVBV0V1187B9A7678,39.95227,Philadelphia. PA,-75.16237,"Lisa ""Left Eye"" Lopes",231.60118,1.0,SOVXDIL12AB0186426,Crank It (ft. Reigndrop Lopes),0.0
ARC4W081187B9ACDBD,35.14968,Memphis. TN,-90.04892,Skillet,236.69506,1.0,SOYFMVU12A67020126,Energy (Album Version),2003.0
,,,,,,,,,
ARFLQWF11F4C83B4E7,,,,60 Watt Kid,153.25995,1.0,SOQBDCA12A8C1408D9,I Got Money,2007.0
ARCRS2O1187B99012F,-37.81753,Melbourne. Australia,144.96715,Holly Valance,235.65016,1.0,SOXAPDD12A6701DAB7,Somebody Out There (Final),2003.0
ARTYXEZ1187FB54560,,,,The Airborne Toxic Event,303.56853,1.0,SOYRFUE12AB0183E5C,Sometime Around Midnight,2008.0
AR050VJ1187B9B13A7,,,,Dead Kennedys,216.842,1.0,SOZQSGL12AF72A9145,Halloween,1982.0
ARSPGHQ1187B9AF447,,,,Will Young,278.83057,1.0,SOLYDHH12AB017C34C,Think It Over,2005.0
ARMOHN71187FB3959F,33.6671,Orange County. CA,-117.76505,Atreyu,218.90567,1.0,SOBTEHX12A6D4FBF18,You Eclipsed By Me (Album Version),2004.0
ARFJZRY1187FB3C85E,,Paterson. NJ,,Bette Midler,215.01342,1.0,SOOTYVJ12A8C14184B,The Rose,1979.0
AR4571B1187B9B976D,,,,Astrix,412.49914,1.0,SOVWHFR12AB0186C47,Techno widows,2004.0
ARBHW3X1187B999013,,,,La Oreja de Van Gogh,230.47791,1.0,SOTJWZX12A8C135C8B,La Estrella Y La Luna,1998.0
ARFQOGB1187FB36588,35.14968,Memphis. TN,-90.04892,Johnny Burnette,122.14812,1.0,SOWSRIF12A6D4F748A,Settin' The Woods On Fire,1995.0
,,,,,,,,,
ARP52CP1187B98FD6B,,,,Poundhound,70.86975,1.0,SOOQYHX12AB01824D0,River,1998.0
ARJYEDS11E2835DC00,,,,KA SO RE,236.32934,1.0,SOOCXVJ12AB018171D,Dramatically Keep You,2008.0
AR2VNTF1187FB40BE9,,,,Sophie Rimheden,271.80363,1.0,SOQKIKH12AB0188E7D,In Your Mind,2003.0
AR1SHY11187B9A1CB1,,,,DJ Laz,203.91138,1.0,SOMZICS12AB017D548,So Fresh So Fly,0.0
AR0YIO81187FB39F86,,,,Barbara Morgenstern,236.66893,1.0,SOJOOPN12AB018AF65,Morbus Basedow,2008.0
ARRIEJC1187B9B8072,40.71455,New York. NY,-74.00712,Morningwood,182.64771,1.0,SOVRCOT12A8C140836,Sugarbaby,2008.0
ARMD3HR1187FB41E42,42.33168,Detroit. MI,-83.04792,J.D. Souther,379.42812,1.0,SOVJNZK12AAF3B3276,A Chorus Of Your Own,2009.0
ARYYI3A1187B98CD79,,Halmstad. Sweden,,Spiritual Beggars,302.05342,1.0,SOIECVJ12AB0182F44,No One Heard,2005.0
AR1XEHY1187B991393,45.51179,Portland. OR,-122.67563,Heatmiser,113.37098,1.0,SOOSKCQ12A58A7C6CB,Hitting On The Waiter,1994.0
AR4QT4U11C8A4174C3,,,,Joseph Arthur,1232.56118,1.0,SOQPOPG12A6D4FBE66,Lonely Astronaut,0.0
ARK8OHG1187B99016A,,Boston. MA,,Shadows Fall,283.48036,1.0,SOKMPKV12A67AE241B,What Drives The Weak,2004.0
ARQUMH41187B9AF699,34.05349,Los Angeles. CA,-118.24532,Linkin Park,208.95302,1.0,SOEKSGJ12A67AE227E,Crawling (Album Version),2000.0
ARB2M051187FB56FA9,40.71455,New York. NY,-74.00712,Spoonie Gee,393.63873,1.0,SOBHQIJ12A6D4FC7D3,Spoonie Is Back,0.0
ARCZCHX122BCFCD5A1,,,,Mor W.A.,126.92853,1.0,SOREFOV12A8C139E98,Radomskit (W Srodku Nocy),0.0
ARPTKO21187B98D5FF,,,,Dynamic Syncopation,65.98485,1.0,SOFKPOF12AB0183B8D,Its A Monster,1999.0
ARMEXUV1187B9B4CD7,,,,Now It's Overhead,205.26975,1.0,SORBCHC12A8C13A6C8,Turn & Go (Album Version),2004.0
AR8URAF1187B9B94B8,27.9758,Florida,-81.54106,God Module,274.46812,1.0,SOFDYVL12AB01883B2,Re.Start,2000.0
AR536YP1187B98E8A9,,,,DARKANE,259.5522,1.0,SOOROJD12A6D4FC3D1,Fading Dimensions,2005.0
AROZ9WA1187B995DF9,,,,Emmerson Nogueira,155.27138,1.0,SOMNGEM12AB017AA7F,Homeward Bound,2009.0
AR6BNBY1187B998232,43.32618,Burlington. ON,-79.79854,Finger Eleven,218.64444,1.0,SOGMZPR12AB018D33C,Tip,1997.0
AR26N5C1187FB52DDB,,,,World Party,305.31873,1.0,SOWFQJT12AB0180C58,Ain't Gonna Come Till I'm Ready,1990.0
ARPCNNQ1187B9992CF,,,,The Cootees,33.64526,1.0,SOVIDFP12A6D4F776B,Hidden Track (Outro to They Don't Know),1997.0
ARXSXI11187B990FC1,,,,Tukan,212.1922,1.0,SOYRLZA12AB018A009,Wonder of Life,2003.0
ARR1L1G1187FB3B9D0,65.0103,Oulu. Finland,25.4735,Uusitalo,475.95057,1.0,SOPVAOQ12A8C132F94,Konevitsa,2007.0
ARLKF6O1187FB3659C,51.7562,Oxford. England,-1.25949,Thea Gilmore,193.35791,1.0,SOEFJMR12AB0184932,That'll Be Christmas,2009.0
AR62BB21187B9AC83D,42.31256,Boston,-71.08868,The Breeders,123.11465,1.0,SONMOUV12A8C139CF0,Bang On,2008.0
ARIY5OL1187B99A66F,,,,Matthew Dear,159.63383,1.0,SOIMSIZ12A58A7BA35,Pom Pom,2007.0
ARRD4CD1187B9891FB,,,,Anna Eriksson,208.84853,1.0,SOVHLXQ12AB0183EE6,Murheellisten laulujen maa,2006.0
ARQ6F0E1187FB45427,,,,Eisbrecher,261.40689,1.0,SORZBCP12A6D4FC924,Wie tief?,2006.0
AR65I1B1187FB4664E,40.71455,New York. NY,-74.00712,John Zorn,187.0624,1.0,SOCPVUT12A81357309,C&D (LP Version),1989.0
ARSXFQQ11F50C4E4E2,,United States,,Manson Family,201.63873,1.0,SOCUGSF12A8C13B6C0,Hallucinations,0.0
AR9W3X91187FB3994C,,Chiswick. London. England,,Phil Collins,154.93179,1.0,SOZKFHV12A6D4F996F,I'm Not Moving,1981.0
ARTOG9T1187B99074E,,West Philadelphia. PA,,Will Smith,113.3971,1.0,SOYMRBS12A8C1316FC,Intro,1997.0
ARL1ZND1187B9AE2D4,,,,Roine Stolt,206.54975,1.0,SOOOZCE12AB017FAEC,Oceanna baby dolphin,1998.0
AR531IG1187FB59B35,,CANADA - Ontario,,Back Door Slam,319.84281,1.0,SOOQCOC12A8C132A5A,Heavy On My Mind (Album Version),2007.0
,,,,,,,,,
ARK885Q1187FB5398E,,,,Stars,261.90322,1.0,SOKHQVN12AB0180281,My Radio (AM Mix),2001.0
ARPKQCH1187FB517D8,,,,Langhorne Slim,142.62812,1.0,SOMJZOZ12AF72A228D,Loretta Lee Jones,2005.0
AR7SVRP1187FB55875,,,,Billy May & His Orchestra,312.92036,1.0,SOQNRHE12A8AE4849A,Fascinating Rhythm (Instrumental) (2007 Digital Remaster),0.0
ARQSM561187FB4A0CF,33.6671,Orange County . USA ,-117.76505,Jack's Mannequin,242.75546,1.0,SOEGIBX12A8AE48C53,Bruised (Album Version),2005.0
AR4VT3E1187FB570BB,,Nebraska,,Cher,167.33995,1.0,SOCBJLF12A8C13473D,Come And Stay With Me (2005 Digital Remaster),0.0
ARW5S821187FB3F681,51.91892,Poland,19.1343,Justyna Steczkowska,230.5824,1.0,SOGLCAY12A58A7C8EE,Zanim Zapragniesz,0.0
ARMI8BW1187FB57B2E,,New York. NY,,Kiss,241.08363,1.0,SOIAZJL12A6D4F854E,Radar For Love,0.0
AR9C8IE1187B9ACC99,,Los Angeles. CA,,System of a Down,176.19546,1.0,SOTKFLY12AF72A73C3,ATWA,2001.0
ARBIECI11F4C845BBC,33.67889,Huntington Beach. CA,-118.00157,The Aquabats,220.29016,1.0,SODKAHP12A8C13D2F7,Playdough,1995.0
ARJHEV01187FB3F426,,,,Michael Been,228.25751,1.0,SOLBFYR12A58A754FB,Us (2006 Remastered LP Version),0.0
AR202MX1187B9B0383,,,,Tanto Metro & Devonte,158.1971,1.0,SOMAFQT12A8AE47E8D,Strange Things,2004.0
ARUD6KN1187B991984,,,,Jan De Wilde,116.4273,1.0,SOWTHFS12A6D4F8779,Moordenaar,2000.0
ARHLGDG11F4C846A37,,Atlanta. GA,,Lil Jon & The East Side Boyz,240.1171,1.0,SOVCYPK12A58A78DE3,Where Dem Girlz At?,0.0
ARSZVL61187FB3F4C7,,,,Sandi Patty,281.23383,1.0,SOLAWLY12A6701C460,One More Song For You (Album Version),0.0
ARENMIP1187FB5638D,54.31407,UK,-2.23001,Robbie Williams,255.26812,1.0,SOBIZYU12A6D4F66C8,Random Acts Of Kindness,2005.0
ARTFT6P1187FB4ACBE,-32.89123,Mendoza. Argentina,-68.83955,Los Enanitos Verdes,256.54812,1.0,SODGDFV12A8C13921E,El Temor,1992.0
